"company_id","health_score","churn_probability","risk_level","activities_last_30d","activities_last_7d","days_since_last_activity","days_to_contract_end","inactive_user","dormant_user","action_priority","primary_risk_factor","recommended_action"
121079,4.6,0.954,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
8689,4.6,0.954,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125112,4.6,0.954,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141099,5,0.95,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
7598,5,0.95,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
136730,5,0.95,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
139112,5.2,0.948,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
3988,5.2,0.948,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
131110,5.4,0.946,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
7722,5.4,0.946,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
138397,5.4,0.946,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
135824,5.6,0.944,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
133346,5.8,0.942,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
137666,6,0.94,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
6358,6,0.94,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125694,6,0.94,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
126538,6.2,0.938,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
1850,6.2,0.938,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
134426,6.4,0.936,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
120601,6.4,0.936,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
7561,6.6,0.934,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
136447,6.6,0.934,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
136963,6.6,0.934,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140234,6.8,0.932,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142173,6.8,0.932,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
136176,6.8,0.932,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
139474,7,0.93,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
144061,7,0.93,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
138418,7,0.93,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143169,7,0.93,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125534,7,0.93,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
122821,7,0.93,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141827,7,0.93,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
3585,7.2,0.928,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
127650,7.2,0.928,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
135341,7.2,0.928,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
3346,7.2,0.928,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
136466,7.2,0.928,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
131916,7.2,0.928,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
135182,7.2,0.928,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
121608,7.4,0.926,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
837,7.4,0.926,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
139475,7.4,0.926,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
124953,7.4,0.926,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
120226,7.6,0.924,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
127320,7.6,0.924,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
143418,7.6,0.924,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
138863,7.6,0.924,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
121359,7.6,0.924,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
121490,7.8,0.922,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
139723,7.8,0.922,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140127,7.8,0.922,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142181,7.8,0.922,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
138027,7.8,0.922,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141116,7.8,0.922,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
136760,7.8,0.922,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125624,8,0.92,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
131574,8,0.92,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
141449,8,0.92,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141870,8,0.92,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
126607,8,0.92,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
3409,8,0.92,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
137539,8,0.92,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
123643,8.2,0.918,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
125288,8.2,0.918,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
141094,8.2,0.918,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
140359,8.2,0.918,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
132050,8.2,0.918,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
129842,8.2,0.918,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
123965,8.2,0.918,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
137036,8.2,0.918,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
138881,8.2,0.918,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
3511,8.2,0.918,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
7529,8.2,0.918,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
136871,8.2,0.918,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
123061,8.4,0.916,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
135200,8.4,0.916,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
5066,8.4,0.916,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141033,8.4,0.916,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
137848,8.4,0.916,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
128293,8.4,0.916,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143627,8.4,0.916,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
137315,8.4,0.916,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
134340,8.4,0.916,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125072,8.6,0.914,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
131850,8.6,0.914,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
139634,8.6,0.914,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
142860,8.6,0.914,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
6327,8.6,0.914,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
136424,8.6,0.914,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
127811,8.8,0.912,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140236,8.8,0.912,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
141008,8.8,0.912,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
124079,8.8,0.912,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
7330,8.8,0.912,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
127637,8.8,0.912,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143642,8.8,0.912,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141100,9,0.91,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141269,9,0.91,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
144700,9,0.91,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
132926,9,0.91,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
122290,9.2,0.908,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
129817,9.2,0.908,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
137981,9.2,0.908,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
144175,9.2,0.908,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
124146,9.2,0.908,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142724,9.2,0.908,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
133463,9.4,0.906,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
134713,9.4,0.906,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
133485,9.4,0.906,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
7408,9.4,0.906,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
138539,9.6,0.904,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140883,9.6,0.904,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142515,9.6,0.904,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
135638,9.6,0.904,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
136951,9.6,0.904,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
137443,9.6,0.904,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
8137,9.8,0.902,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
126452,9.8,0.902,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
143970,9.8,0.902,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
120885,9.8,0.902,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
123102,9.8,0.902,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
123537,9.8,0.902,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
127483,9.8,0.902,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
144823,9.8,0.902,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
139501,10,0.9,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140132,10,0.9,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
133828,10.2,0.898,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
137942,10.2,0.898,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
138135,10.2,0.898,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
121679,10.2,0.898,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
3490,10.2,0.898,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
137943,10.2,0.898,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
121306,10.4,0.896,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
126296,10.4,0.896,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
133737,10.4,0.896,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
142079,10.4,0.896,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
4749,10.6,0.894,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
137389,10.8,0.892,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140544,10.8,0.892,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
122918,11,0.89,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
127295,11,0.89,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
8028,11,0.89,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143484,11,0.89,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
124902,11.2,0.888,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
125524,11.2,0.888,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
129582,11.2,0.888,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
122147,11.2,0.888,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
135206,11.2,0.888,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
140388,11.4,0.886,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141736,11.4,0.886,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143469,11.4,0.886,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
124662,11.4,0.886,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
134882,11.6,0.884,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
140917,11.6,0.884,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142479,11.6,0.884,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
132197,12,0.88,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
136881,12,0.88,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142322,12,0.88,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
1184,12,0.88,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
133259,12.2,0.878,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
125693,12.2,0.878,"Critical Risk",29,0,25,538,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
129288,12.2,0.878,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
126826,12.4,0.876,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
138290,12.4,0.876,"Critical Risk",265,52,2,509,0,0,"Immediate Action Required","Multiple usage factors","General engagement improvement"
141997,12.6,0.874,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
128657,12.6,0.874,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
1429,12.6,0.874,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
6483,12.6,0.874,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
